z(mm),pH
0.000000000000000000e+00,7.927199363708496094e+00
1.000000000000000056e-01,7.313157081604003906e+00
2.000000000000000111e-01,7.299332141876220703e+00
3.000000000000000444e-01,7.299293518066406250e+00
4.000000000000000222e-01,7.299293518066406250e+00
5.000000000000000000e-01,7.299293518066406250e+00
6.000000000000000888e-01,7.299293518066406250e+00
6.999999999999999556e-01,7.299293518066406250e+00
8.000000000000000444e-01,7.299293518066406250e+00
9.000000000000001332e-01,7.299293518066406250e+00
1.000000000000000000e+00,7.299293518066406250e+00
1.100000000000000089e+00,7.299293518066406250e+00
1.200000000000000178e+00,7.299293518066406250e+00
1.300000000000000266e+00,7.299293518066406250e+00
1.399999999999999911e+00,7.299293518066406250e+00
1.500000000000000000e+00,7.299293518066406250e+00
1.600000000000000089e+00,7.299293518066406250e+00
1.700000000000000178e+00,7.299293518066406250e+00
1.800000000000000266e+00,7.299293518066406250e+00
1.899999999999999911e+00,7.299293518066406250e+00
2.000000000000000000e+00,7.299293518066406250e+00
2.100000000000000089e+00,7.299293518066406250e+00
2.200000000000000178e+00,7.299293518066406250e+00
2.299999999999999822e+00,7.299293518066406250e+00
2.400000000000000355e+00,7.299293518066406250e+00
2.500000000000000000e+00,7.299293518066406250e+00
2.600000000000000533e+00,7.299293518066406250e+00
2.700000000000000178e+00,7.299293518066406250e+00
2.799999999999999822e+00,7.299293518066406250e+00
2.900000000000000355e+00,7.299293518066406250e+00
3.000000000000000000e+00,7.299293518066406250e+00
3.100000000000000533e+00,7.299293518066406250e+00
3.200000000000000178e+00,7.299293518066406250e+00
3.299999999999999822e+00,7.299293518066406250e+00
3.400000000000000355e+00,7.299293518066406250e+00
3.500000000000000000e+00,7.299293518066406250e+00
3.600000000000000533e+00,7.299293518066406250e+00
3.700000000000000178e+00,7.299293518066406250e+00
3.799999999999999822e+00,7.299293518066406250e+00
3.900000000000000355e+00,7.299293518066406250e+00
4.000000000000000000e+00,7.299293518066406250e+00
4.100000000000000533e+00,7.299293518066406250e+00
4.200000000000000178e+00,7.299293518066406250e+00
4.299999999999999822e+00,7.299293518066406250e+00
4.400000000000000355e+00,7.299293518066406250e+00
4.500000000000000888e+00,7.299293518066406250e+00
4.599999999999999645e+00,7.299293518066406250e+00
4.700000000000000178e+00,7.299293518066406250e+00
4.800000000000000711e+00,7.299293518066406250e+00
4.899999999999999467e+00,7.299293518066406250e+00
